CIVILSTAND;TID;INDHOLD
Gift/separeret;2008K1;2176977
Gift/separeret;2008K2;2171174
Gift/separeret;2008K3;2176196
Gift/separeret;2008K4;2191033
Gift/separeret;2009K1;2188259
Gift/separeret;2009K2;2180280
Gift/separeret;2009K3;2183708
Gift/separeret;2009K4;2193779
Gift/separeret;2010K1;2189368
Gift/separeret;2010K2;2181819
Gift/separeret;2010K3;2184152
Gift/separeret;2010K4;2191517
Gift/separeret;2011K1;2187702
Gift/separeret;2011K2;2177947
Gift/separeret;2011K3;2178670
Gift/separeret;2011K4;2183712
Gift/separeret;2012K1;2178131
Gift/separeret;2012K2;2168562
Gift/separeret;2012K3;2168353
Gift/separeret;2012K4;2173196
Gift/separeret;2013K1;2169369
Gift/separeret;2013K2;2158728
Gift/separeret;2013K3;2156743
Gift/separeret;2013K4;2165925
Gift/separeret;2014K1;2154621
Gift/separeret;2014K2;2144763
Gift/separeret;2014K3;2144241
Gift/separeret;2014K4;2148451
Gift/separeret;2015K1;2143625
Gift/separeret;2015K2;2138481
Gift/separeret;2015K3;2140400
Gift/separeret;2015K4;2146756
Gift/separeret;2016K1;2142540
Gift/separeret;2016K2;2135923
Gift/separeret;2016K3;2135953
Gift/separeret;2016K4;2145540
Gift/separeret;2017K1;2140830
Gift/separeret;2017K2;2132454
Gift/separeret;2017K3;2135608
Gift/separeret;2017K4;2145883
Gift/separeret;2018K1;2141429
Gift/separeret;2018K2;2133673
Gift/separeret;2018K3;2136954
Gift/separeret;2018K4;2146813
Gift/separeret;2019K1;2141704
Gift/separeret;2019K2;2136452
Gift/separeret;2019K3;2140880
Gift/separeret;2019K4;2149938
Gift/separeret;2020K1;2146017
Gift/separeret;2020K2;2137608
Gift/separeret;2020K3;2132092
