CIVILSTAND;OMRÅDE;TID;INDHOLD
Ugift;Hele landet;2020K3;2854659
Ugift;Region Hovedstaden;2020K3;977487
Ugift;København;2020K3;414218
Ugift;Frederiksberg;2020K3;60802
Ugift;Dragør;2020K3;5866
Ugift;Tårnby;2020K3;19945
Ugift;Albertslund;2020K3;13726
Ugift;Ballerup;2020K3;22667
Ugift;Brøndby;2020K3;16299
Ugift;Gentofte;2020K3;35169
Ugift;Gladsaxe;2020K3;34752
Ugift;Glostrup;2020K3;11386
Ugift;Herlev;2020K3;13810
Ugift;Hvidovre;2020K3;26581
Ugift;Høje-Taastrup;2020K3;23728
Ugift;Ishøj;2020K3;10873
Ugift;Lyngby-Taarbæk;2020K3;27764
Ugift;Rødovre;2020K3;20198
Ugift;Vallensbæk;2020K3;7318
Ugift;Allerød;2020K3;10605
Ugift;Egedal;2020K3;18396
Ugift;Fredensborg;2020K3;17247
Ugift;Frederikssund;2020K3;18645
Ugift;Furesø;2020K3;17505
Ugift;Gribskov;2020K3;16036
Ugift;Halsnæs;2020K3;12777
Ugift;Helsingør;2020K3;27327
Ugift;Hillerød;2020K3;23416
Ugift;Hørsholm;2020K3;9648
Ugift;Rudersdal;2020K3;24684
Ugift;Bornholm;2020K3;16066
Ugift;Christiansø;2020K3;33
Ugift;Region Sjælland;2020K3;370346
Ugift;Greve;2020K3;21065
Ugift;Køge;2020K3;27447
Ugift;Lejre;2020K3;11637
Ugift;Roskilde;2020K3;41580
Ugift;Solrød;2020K3;10065
Ugift;Faxe;2020K3;15681
Ugift;Guldborgsund;2020K3;25813
Ugift;Holbæk;2020K3;32366
Ugift;Kalundborg;2020K3;21195
Ugift;Lolland;2020K3;17056
Ugift;Næstved;2020K3;38262
Ugift;Odsherred;2020K3;13051
Ugift;Ringsted;2020K3;16089
Ugift;Slagelse;2020K3;37477
Ugift;Sorø;2020K3;13306
Ugift;Stevns;2020K3;9138
Ugift;Vordingborg;2020K3;19118
Ugift;Region Syddanmark;2020K3;569849
Ugift;Assens;2020K3;17664
Ugift;Faaborg-Midtfyn;2020K3;22137
Ugift;Kerteminde;2020K3;9831
Ugift;Langeland;2020K3;4544
Ugift;Middelfart;2020K3;16596
Ugift;Nordfyns;2020K3;12670
Ugift;Nyborg;2020K3;13827
Ugift;Odense;2020K3;112672
Ugift;Svendborg;2020K3;26281
Ugift;Ærø;2020K3;2203
Ugift;Billund;2020K3;11755
Ugift;Esbjerg;2020K3;55330
Ugift;Fanø;2020K3;1267
Ugift;Fredericia;2020K3;23752
Ugift;Haderslev;2020K3;24823
Ugift;Kolding;2020K3;44969
Ugift;Sønderborg;2020K3;32180
Ugift;Tønder;2020K3;15764
Ugift;Varde;2020K3;21706
Ugift;Vejen;2020K3;19353
Ugift;Vejle;2020K3;55161
Ugift;Aabenraa;2020K3;25364
Ugift;Region Midtjylland;2020K3;655924
Ugift;Favrskov;2020K3;21843
Ugift;Hedensted;2020K3;20335
Ugift;Horsens;2020K3;44741
Ugift;Norddjurs;2020K3;16375
Ugift;Odder;2020K3;9603
Ugift;Randers;2020K3;47342
Ugift;Samsø;2020K3;1291
Ugift;Silkeborg;2020K3;44180
Ugift;Skanderborg;2020K3;29040
Ugift;Syddjurs;2020K3;18125
Ugift;Aarhus;2020K3;208470
Ugift;Herning;2020K3;42075
Ugift;Holstebro;2020K3;27545
Ugift;Ikast-Brande;2020K3;18658
Ugift;Lemvig;2020K3;7932
Ugift;Ringkøbing-Skjern;2020K3;24244
Ugift;Skive;2020K3;20206
Ugift;Struer;2020K3;8496
Ugift;Viborg;2020K3;45423
Ugift;Region Nordjylland;2020K3;281053
Ugift;Brønderslev;2020K3;16301
Ugift;Frederikshavn;2020K3;24745
Ugift;Hjørring;2020K3;28682
Ugift;Jammerbugt;2020K3;16404
Ugift;Læsø;2020K3;607
Ugift;Mariagerfjord;2020K3;18150
Ugift;Morsø;2020K3;8804
Ugift;Rebild;2020K3;13751
Ugift;Thisted;2020K3;18757
Ugift;Vesthimmerlands;2020K3;16158
Ugift;Aalborg;2020K3;118694
